Domain ascore,Domain,Backlinks,IP Address,Country,First seen,Last seen
32,primatips.com,32576707,109.74.198.125,gb,2024-03-12,2025-01-18
82,soccerway.com,28532003,184.29.229.176,tr,2023-05-23,2025-01-18
28,tennisprediction.com,9399625,104.21.96.1,,2023-08-09,2025-01-18
14,rezilta.com,7100566,104.26.5.244,,2023-03-27,2025-01-18
26,tipsterarea.com,5788113,176.58.127.90,gb,2023-05-02,2025-01-18
17,betmonitor.com,3344480,89.22.102.93,de,2019-10-26,2025-01-16
42,matchstat.com,3235692,104.26.1.111,,2023-07-17,2025-01-18
73,footboom1.com,2419716,104.26.0.163,,2024-04-27,2025-01-18
42,playmakerstats.com,1973852,172.67.153.130,,2022-12-01,2025-01-18
38,soccerstats247.com,1767222,104.21.76.30,,2023-09-12,2025-01-12
25,sportsbet.com,1560757,162.13.178.83,gb,2021-04-26,2025-01-18
67,ogol.com.br,1512652,104.21.2.72,,2022-11-30,2025-01-18
79,motorsport.com,1390755,3.171.38.9,us,2024-03-25,2025-01-18
37,tipster.bg,1349985,79.98.106.99,bg,2022-07-10,2025-01-18
17,tippen4you.com,1299467,161.97.165.33,de,2024-03-13,2025-01-18
28,basketballstats247.com,1251835,104.21.91.39,,2024-03-14,2025-01-08
12,vitisport.se,1128088,217.198.116.91,cz,2022-05-06,2025-01-18
93,espncricinfo.com,1091410,2.19.193.75,tr,2023-04-26,2025-01-18
62,betexplorer.com,1030684,188.92.44.58,cz,2023-06-12,2025-01-18